pid,Số nhân GPU,Công suất đồ hoạ - TGP,Hiệu năng xử lý AI (TOPS),Loại card,Tên card
327098,,,,Card tích hợp,AMD Radeon Graphics
311178,,,,Card tích hợp,AMD Radeon Graphics
334442,,,,Card tích hợp,Intel UHD Graphics
335362,8,,,Card tích hợp,Apple M Series - M4
337470,,,,Card tích hợp,Intel Iris Xe Graphics
336967,,,,Card tích hợp,Intel UHD Graphics
321192,,,,Card tích hợp,Intel Iris Xe Graphics
338207,,,,Card tích hợp,Intel UHD Graphics
334792,,,,Card tích hợp,Intel UHD Graphics
334450,,,,Card tích hợp,Intel UHD Graphics
333427,,,,Card rời,"NVIDIA GeForce RTX 3050, 6 GB"
326124,,,,Card rời,"NVIDIA GeForce RTX 2050, 4 GB"
289472,8,,,Card tích hợp,Apple M Series - M2
334803,,,,Card tích hợp,Intel Iris Xe Graphics
335556,,65 W,Lên đến 142 TOPS,Card rời,"NVIDIA GeForce RTX 3050, 6 GB"
338323,,,,Card tích hợp,Intel Graphics
326050,,,,Card tích hợp,Intel UHD Graphics
334996,,,,Card tích hợp,Intel UHD Graphics
331362,,,,Card tích hợp,Intel Iris Xe Graphics
325500,,,,Card tích hợp,AMD Radeon 610M Graphics
340564,,,,Card tích hợp,Intel UHD Graphics
338311,,,,Card tích hợp,Intel Iris Xe Graphics
323920,,,,Card tích hợp,Intel Iris Xe Graphics
334997,,,,Card tích hợp,Intel UHD Graphics
335372,10,,,Card tích hợp,Apple M Series - M4
326279,,,,Card rời,"NVIDIA GeForce RTX 3050, 4 GB"
310449,,,,Card tích hợp,Intel Iris Xe Graphics
340486,,,,Card tích hợp,Intel Iris Xe Graphics
334446,,,,Card tích hợp,Intel UHD Graphics
339679,,,,Card tích hợp,Intel Iris Xe Graphics
333430,,,,Card rời,"NVIDIA GeForce RTX 2050, 4 GB"
328235,,,,Card rời,"NVIDIA GeForce RTX 3050, 4 GB"
321467,,45 W,,Card rời,"NVIDIA GeForce RTX 2050, 4 GB"
337233,,,,Card tích hợp,Intel UHD Graphics
328237,,,,Card rời,"NVIDIA GeForce RTX 2050, 4 GB"
337420,,,,Card tích hợp,AMD Radeon Graphics
334999,,,,Card tích hợp,AMD Radeon Graphics
338204,,70 W,,Card rời,"NVIDIA GeForce RTX 3050, 6 GB"
329786,,,,Card rời,"NVIDIA GeForce RTX 2050, 4 GB"
341563,,,,Card rời,"NVIDIA GeForce RTX 3050, 6 GB"
326830,,,,Card tích hợp,Intel Graphics
339683,,,,Card tích hợp,Intel Graphics
333886,,,,Card tích hợp,Intel Iris Xe Graphics
332365,,65 W,,Card rời,"NVIDIA GeForce RTX 2050, 4 GB"
333104,,,,Card tích hợp,Intel Iris Xe Graphics
311176,,,,Card tích hợp,Intel Iris Xe Graphics
341612,,,,Card rời,"NVIDIA GeForce RTX 4050, 6 GB"
343120,,,,Card tích hợp,AMD Radeon Graphics
335554,,95 W,Lên đến 142 TOPS,Card rời,"NVIDIA GeForce RTX 3050, 6 GB"
325247,,,,Card tích hợp,Intel Iris Xe Graphics
325691,,,,Card tích hợp,Intel Iris Xe Graphics
328238,,,,Card rời,"NVIDIA GeForce RTX 3050, 4 GB"
338206,,,,Card tích hợp,Intel UHD Graphics
327872,,,,Card rời,"NVIDIA GeForce RTX 4050, 6 GB"
337476,,,,Card tích hợp,Intel Iris Xe Graphics
326049,,,,Card tích hợp,AMD Radeon Graphics
331564,10,,,Card tích hợp,Apple M Series - M4
326122,,,,Card rời,"NVIDIA GeForce RTX 3050, 6 GB"
343121,,,,Card tích hợp,AMD Radeon Graphics
339687,,,,Card rời,"NVIDIA GeForce RTX 3050, 6 GB"
338278,,,,Card rời,"NVIDIA GeForce RTX 4050, 6 GB"
338324,,,,Card rời,"NVIDIA GeForce RTX 3050, 4 GB"
337474,,,,Card tích hợp,Intel UHD Graphics
311177,,,,Card tích hợp,Intel Iris Xe Graphics
322072,,95 W,,Card rời,"NVIDIA GeForce RTX 3050, 6 GB"
328906,,,,Card tích hợp,Intel UHD Graphics
310447,,,,Card rời,"NVIDIA GeForce RTX 4060, 8 GB"
343122,,,,Card tích hợp,Intel UHD Graphics
339681,,,,Card tích hợp,Intel Iris Xe Graphics
340560,,,,Card tích hợp,Intel Iris Xe Graphics
341270,,,,Card tích hợp,Intel Iris Xe Graphics
330162,,,,Card rời,"NVIDIA GeForce RTX 2050, 4 GB"
338318,,,,Card tích hợp,Intel UHD Graphics
318163,,30 W - 45 W,,Card rời,"NVIDIA GeForce RTX 2050, 4 GB"
339857,,,,Card rời,"NVIDIA GeForce RTX 3050, 6 GB"
335553,,95 W,Lên đến 142 TOPS,Card rời,"NVIDIA GeForce RTX 3050, 6 GB"
328814,,,,Card tích hợp,Intel UHD Graphics
327707,,,,Card rời,"NVIDIA GeForce RTX 4050, 6 GB"
331566,10,,,Card tích hợp,Apple M Series - M4
341607,,35 W - 100 W,Lên đến 440 TOPS,Card rời,"NVIDIA GeForce RTX 5050, 8 GB"
327050,,95 W,,Card rời,"NVIDIA GeForce RTX 3050, 6 GB"
340559,,,,Card tích hợp,Intel Iris Xe Graphics
336036,,,,Card tích hợp,Intel Iris Xe Graphics
325697,,,,Card rời,"NVIDIA GeForce RTX 4050, 6 GB"
