pid,Brand,Model,Số nhân,Số luồng,Tốc độ CPU,NPU,Hiệu năng xử lý AI (TOPS)
334449,AMD,8845HS,8,16,3.8 GHz (Lên đến 5.10 GHz khi tải nặng),AMD XDNA,Lên đến 16 TOPS
339587,AMD,350,8,16,2.00 GHz (Lên đến 5.00 GHz khi tải nặng),AMD XDNA,Lên đến 50 TOPS
331568,Apple,M4 pro,12,Hãng không công bố,273 GB/s memory bandwidth,,
326861,Intel,12450H,8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),,
337044,Intel,125U,12,14,1.30 GHz (Lên đến 4.30 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
339581,AMD,340,6,12,2.00 GHz (Lên đến 4.80 GHz khi tải nặng),AMD XDNA,Lên đến 50 TOPS
337472,Intel,1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,
340491,AMD,7520U,4,8,2.80 GHz (Lên đến 4.30 GHz khi tải nặng),,
322270,Intel,1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,
338320,Intel,225H,14,14,1.70 GHz (Lên đến 4.90 GHz khi tải nặng),Intel AI Boost,Max 13 TOPS
313177,Intel,12450H,8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),,
340484,AMD,7530U,6,12,2.00 GHz (Lên đến 4.50 GHz khi tải nặng),,
314630,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
337475,Intel,1255U,10,12,1.70 GHz (Lên đến 4.70 GHz khi tải nặng),,
340004,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
340558,Intel,1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
334795,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
327896,AMD,7435HS,8,16,3.10 GHz (Lên đến 4.50 GHz khi tải nặng),,
340478,Intel,1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
337473,Intel,1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,
333421,Intel,1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,
332578,Intel,12450H,8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),,
340481,Intel,150U,10,12,1.80 GHz (Lên đến 5.40 GHz khi tải nặng),,
322073,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
340487,Intel,14700HX,20,28,2.10 GHz (Lên đến 5.50 GHz khi tải nặng),,
332450,Apple,M4 pro,12,Hãng không công bố,273 GB/s memory bandwidth,,
308697,Intel,12450H,8,12,2.00 GHz (Lên đến 4.40 GHz khi tải nặng),,
317704,Intel,1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
325479,Intel,125H,14,18,1.20 GHz (Lên đến 4.50 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
333105,Intel,1255U,10,12,1.70 GHz (Lên đến 4.70 GHz khi tải nặng),,
337469,Intel,1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,
337041,Intel,155U,12,14,1.70 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Lên đến 11 TOPS
333423,Intel,1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
341604,Intel,12650H,10,16,3.50 GHz (Lên đến 4.70 GHz khi tải nặng),,
313974,AMD,7840HS,8,16,3.8 GHz (Lên đến 5.10 GHz khi tải nặng),AMD XDNA,Max 10 TOPS
339656,Intel,225H,14,14,1.70 GHz (Lên đến 4.90 GHz khi tải nặng),Intel AI Boost,Max 13 TOPS
332370,Intel,155U,12,14,1.70 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
314849,AMD,7535HS,6,12,3.30 GHz (Lên đến 4.55 GHz khi tải nặng),,
334440,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
342469,Intel,1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,
327977,Intel,1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,
330578,AMD,7435HS,8,16,3.10 GHz (Lên đến 4.50 GHz khi tải nặng),,
337043,Intel,125U,12,14,1.30 GHz (Lên đến 4.30 GHz khi tải nặng),Intel AI Boost,Lên đến 11 TOPS
319657,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
325953,Intel,150U,10,12,1.80 GHz (Lên đến 5.40 GHz khi tải nặng),,
331506,Intel,125U,12,14,1.30 GHz (Lên đến 4.30 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
333424,Intel,125H,14,18,1.20 GHz (Lên đến 4.50 GHz khi tải nặng),Intel AI Boost,
326641,Intel,1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,
339652,Intel,255H,16,16,2.00 GHz (Lên đến 5.10 GHz khi tải nặng),Intel AI Boost,Max 13 TOPS
322100,Intel,14700HX,20,28,2.10 GHz (Lên đến 5.50 GHz khi tải nặng),,
329853,Intel,1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,
327898,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
341568,Intel,1255U,10,12,3.50 GHz (Lên đến 4.70 GHz khi tải nặng),,
310839,Intel,13500H,12,16,2.60 GHz (Lên đến 4.70 GHz khi tải nặng),,
340483,Intel,120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),,
338312,Intel,120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),,
339201,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
325699,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
339653,Intel,210H,8,12,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),,
329736,Intel,120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),,
339265,AMD,8840HS,8,16,3.30 GHz (Lên đến 5.10 GHz khi tải nặng),AMD XDNA,Lên đến 16 TOPS
327710,Intel,1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
340565,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
340562,Intel,1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,
325477,Intel,12500H,12,16,2.50 GHz (Lên đến 4.50 GHz khi tải nặng),,
342526,Intel,13650HX,14,20,2.60 GHz (Lên đến 4.90 GHz khi tải nặng),,
323325,Intel,1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
329852,Intel,150U,10,12,1.80 GHz (Lên đến 5.40 GHz khi tải nặng),,
333425,Intel,155H,16,22,1.40 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,
339655,Intel,255H,16,16,2.00 GHz (Lên đến 5.10 GHz khi tải nặng),Intel AI Boost,Max 13 TOPS
302209,Intel,1260P,12,16,2.10 GHz (Lên đến 4.70 GHz khi tải nặng),,
338000,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
309375,Intel,1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
335170,Intel,1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
325244,Intel,150U,10,12,1.80 GHz (Lên đến 5.40 GHz khi tải nặng),,
328443,AMD,7640HS,6,12,4.30 GHz (Lên đến 5.00 GHz khi tải nặng),AMD XDNA,Max 10 TOPS
338279,AMD,7735HS,8,16,3.20 GHz (Lên đến 4.75 GHz khi tải nặng),,
304543,Intel,1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,
332368,Intel,155U,12,14,1.70 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Lên đến 11 TOPS
326637,Intel,1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,
329429,Intel,13500H,12,16,2.60 GHz (Lên đến 4.70 GHz khi tải nặng),,
328474,Intel,1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,
328483,Intel,12450HX,8,12,Lên đến 4.40 GHz khi tải nặng,,
316941,Intel,12650H,10,16,2.30 GHz (Lên đến 4.70 GHz khi tải nặng),,
317712,Intel,1215U,6,8,1.2GHz,,
340561,Intel,1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
338317,Intel,1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,
333094,Intel,13650HX,14,20,2.60 GHz (Lên đến 4.90 GHz khi tải nặng),,
323335,Intel,1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
272282,Intel,12500H,12,16,2.50 GHz (Lên đến 4.50 GHz khi tải nặng),,
313973,Intel,13500H,12,16,2.60 GHz (Lên đến 4.70 GHz khi tải nặng),,
321436,AMD,5700U,8,16,1.80 GHz (Lên đến 4.30 GHz khi tải nặng),,
329112,Intel,120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),,
336968,Intel,155H,16,22,1.40 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
339616,Intel,255H,16,16,2.00 GHz (Lên đến 5.10 GHz khi tải nặng),Intel AI Boost,Max 13 TOPS
329787,Intel,155H,16,22,1.40 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
337471,Intel,1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
336031,Intel,285H,16,16,2.90 GHz (Lên đến 5.40 GHz khi tải nặng),Intel AI Boost,Max 13 TOPS
335171,Intel,225H,14,14,1.70 GHz (Lên đến 4.90 GHz khi tải nặng),Intel AI Boost,Max 13 TOPS
333872,AMD,8640U,6,12,3.50 GHz (Lên đến 4.90 GHz khi tải nặng),AMD XDNA,Lên đến 16 TOPS
326876,Intel,1215U,6,8,1.2GHz,,
337843,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
327506,AMD,7430U,6,12,2.30 GHz (Lên đến 4.30 GHz khi tải nặng),,
328815,AMD,8640HS,6,12,3.50 GHz (Lên đến 4.90 GHz khi tải nặng),AMD XDNA,Lên đến 16 TOPS
333197,Intel,258V,8,8,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Lên đến 47 TOPS
339952,Intel,255HX,20,20,2.40 GHz (Lên đến 5.20 GHz khi tải nặng),Intel AI Boost,Max 13 TOPS
313627,AMD,5700U,8,16,1.80 GHz (Lên đến 4.30 GHz khi tải nặng),,
339688,Intel,210H,8,12,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),,
331508,Intel,1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,
333107,Intel,1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
339684,Intel,14650HX,16,24,2.20 GHz (Lên đến 5.20 GHz khi tải nặng),,
338208,AMD,8840HS,8,16,3.30 GHz (Lên đến 5.10 GHz khi tải nặng),AMD XDNA,Lên đến 16 TOPS
327406,Intel,1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
327507,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
341626,Intel,13420H,8,12,3.4 GHz (Lên đến 4.60 GHz khi tải nặng),,
341603,AMD,7535HS,6,12,3.30 GHz (Lên đến 4.55 GHz khi tải nặng),,
328130,Intel,155U,12,14,1.70 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
339954,Intel,120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),,
326558,Intel,155H,16,22,1.40 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Lên đến 11 TOPS
337842,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
338315,Intel,1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,
328951,Intel,12500H,12,16,2.50 GHz (Lên đến 4.50 GHz khi tải nặng),,
327409,Intel,1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,
328950,Intel,13900H,14,20,2.6GHz,,
327981,Intel,1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
341267,Intel,225U,12,14,1.50 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,
318354,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
325586,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
338280,Intel,258V,8,8,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Lên đến 47 TOPS
335549,AMD,7735HS,8,16,3.20 GHz (Lên đến 4.75 GHz khi tải nặng),,
325051,Intel,155H,16,22,1.40 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
339686,Intel,210H,8,12,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),,
328946,Intel,1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,
331526,AMD,8640HS,6,12,3.50 GHz (Lên đến 4.90 GHz khi tải nặng),AMD XDNA,Lên đến 16 TOPS
302533,Intel,1240P,12,16,1.70 GHz (Lên đến 4.40 GHz khi tải nặng),,
325480,Intel,13500H,12,16,2.60 GHz (Lên đến 4.70 GHz khi tải nặng),,
328473,Intel,1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
328947,Intel,150U,10,12,1.80 GHz (Lên đến 5.40 GHz khi tải nặng),,
327508,Intel,1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,
342514,Intel,210H,8,12,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),,
325588,Intel,155H,16,22,1.40 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
329867,Intel,125U,12,14,1.30 GHz (Lên đến 4.30 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
322098,AMD,8845HS,8,16,3.8 GHz (Lên đến 5.10 GHz khi tải nặng),AMD XDNA,Lên đến 16 TOPS
339953,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
339211,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
329858,Intel,1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,
331527,Intel,155U,12,14,1.70 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
309565,Intel,1240P,12,16,1.70 GHz (Lên đến 4.40 GHz khi tải nặng),,
333098,Intel,226V,8,8,2.10 GHz (Lên đến 4.50 GHz khi tải nặng),Intel AI Boost,Lên đến 40 TOPS
327901,Intel,13900HX,24,32,3.90 GHz (Lên đến 5.40 GHz khi tải nặng),,
327900,Intel,13650HX,14,20,2.60 GHz (Lên đến 4.90 GHz khi tải nặng),,
326194,Intel,1235U,10,12,1.30 GHz (Lên đến 4.40 GHz khi tải nặng),,
339661,Intel,228V,8,8,2.10 GHz (Lên đến 4.50 GHz khi tải nặng),Intel AI Boost,Lên đến 40 TOPS
313332,Intel,12700H,14,20,2.30 GHz (Lên đến 4.70 GHz khi tải nặng),,
339647,Intel,255HX,20,20,2.40 GHz (Lên đến 5.20 GHz khi tải nặng),Intel AI Boost,Max 13 TOPS
332397,Intel,226V,8,8,2.10 GHz (Lên đến 4.50 GHz khi tải nặng),Intel AI Boost,Lên đến 40 TOPS
328945,Intel,1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
312414,Intel,1215U,6,8,1.2GHz,,
327899,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
342501,Intel,210H,8,12,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),,
333873,AMD,8840HS,8,16,3.30 GHz (Lên đến 5.10 GHz khi tải nặng),AMD XDNA,Lên đến 16 TOPS
322003,Intel,1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
335550,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
340006,AMD,260,8,16,3.8 GHz (Lên đến 5.10 GHz khi tải nặng),AMD XDNA,Lên đến 16 TOPS
335832,Intel,258V,8,8,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Lên đến 47 TOPS
339680,Intel,120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),,
341266,Intel,225U,12,14,1.50 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,
334800,Snapdragon,X1-26-100,8,Hãng không công bố,Lên đến 3.00 GHz khi tải nặng,Qualcomm Hexagon,Lên đến 45 TOPS
339212,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
339690,Intel,240H,10,16,2.50 GHz (Lên đến 5.20 GHz khi tải nặng),,
337237,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
322959,Intel,155H,16,22,1.40 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
334796,Intel,225H,14,14,1.70 GHz (Lên đến 4.90 GHz khi tải nặng),Intel AI Boost,Max 13 TOPS
341623,AMD,7445HS,6,12,3.10 GHz (Lên đến 4.70 GHz khi tải nặng),,
326148,Intel,1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,
333099,Intel,258V,8,8,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Lên đến 47 TOPS
337242,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
326280,AMD,8845HS,8,16,3.8 GHz (Lên đến 5.10 GHz khi tải nặng),AMD XDNA,Lên đến 16 TOPS
332579,AMD,8645HS,6,12,4.30 GHz (Lên đến 5.00 GHz khi tải nặng),AMD XDNA,Lên đến 16 TOPS
341750,AMD,350,8,16,2.00 GHz (Lên đến 5.00 GHz khi tải nặng),AMD XDNA,Lên đến 50 TOPS
338321,Intel,255H,16,16,2.00 GHz (Lên đến 5.10 GHz khi tải nặng),Intel AI Boost,Max 13 TOPS
335172,AMD,350,8,16,2.00 GHz (Lên đến 5.00 GHz khi tải nặng),AMD XDNA,Lên đến 50 TOPS
326059,AMD,7640HS,6,12,4.30 GHz (Lên đến 5.00 GHz khi tải nặng),AMD XDNA,Max 10 TOPS
329337,Intel,12700H,14,20,2.30 GHz (Lên đến 4.70 GHz khi tải nặng),,
329789,Intel,155H,16,22,1.40 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
323585,AMD,7840HS,8,16,3.8 GHz (Lên đến 5.10 GHz khi tải nặng),AMD XDNA,Max 10 TOPS
341608,AMD,7535HS,6,12,3.30 GHz (Lên đến 4.55 GHz khi tải nặng),,
317709,Intel,12500H,12,16,2.50 GHz (Lên đến 4.50 GHz khi tải nặng),,
334799,AMD,350,8,16,2.00 GHz (Lên đến 5.00 GHz khi tải nặng),AMD XDNA,Lên đến 50 TOPS
326824,Intel,155U,12,14,1.70 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
335020,Intel,258V,8,8,2.20 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Lên đến 47 TOPS
339659,Intel,255H,16,16,2.00 GHz (Lên đến 5.10 GHz khi tải nặng),Intel AI Boost,Max 13 TOPS
341751,Intel,13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),,
339685,Intel,14650HX,16,24,2.20 GHz (Lên đến 5.20 GHz khi tải nặng),,
311145,Intel,1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
315892,AMD,7735HS,8,16,3.20 GHz (Lên đến 4.75 GHz khi tải nặng),,
327408,Intel,1355U,10,12,1.70 GHz (Lên đến 5.00 GHz khi tải nặng),,
334444,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
339648,Intel,255HX,20,20,2.40 GHz (Lên đến 5.20 GHz khi tải nặng),Intel AI Boost,Max 13 TOPS
341611,Intel,14450HX,10,16,2.40 GHz (Lên đến 4.80 GHz khi tải nặng),,
321468,Intel,155H,16,22,1.40 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
322099,Intel,155H,16,22,1.40 GHz (Lên đến 4.80 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
330165,Intel,1334U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
334798,Intel,285H,16,16,2.90 GHz (Lên đến 5.40 GHz khi tải nặng),Intel AI Boost,Max 13 TOPS
315911,Intel,1335U,10,12,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),,
341752,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
337241,Intel,13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),,
339658,Intel,255H,16,16,2.00 GHz (Lên đến 5.10 GHz khi tải nặng),Intel AI Boost,Max 13 TOPS
320431,Intel,125H,14,18,1.20 GHz (Lên đến 4.50 GHz khi tải nặng),Intel AI Boost,Hãng không công bố
327974,Intel,12700H,14,20,2.30 GHz (Lên đến 4.70 GHz khi tải nặng),,
325002,Intel,13700H,14,20,Lên đến 5.00 GHz khi tải nặng,,
